文章标题,文章链接,文章内容,发布时间
我校第三届阳光体育运动大赛圆满落幕,https://www.gdust.edu.cn/article/20230525/17501.html,本网讯（学校办公室）5月24日，我校第三届阳光体育运动大赛决赛及闭幕式在南城校区体育馆举行。校长梁瑞雄，副校长吴立平，校长助理、学生处处长王宏武，各二级学院及部分职能部门相关负责人出席闭幕式。闭幕式由王宏武主持。本次大赛旨在弘扬体育精神，推动校园阳光体育活动发展，持续深化“五育并举”广科育人模式，培养崇文尚武、德才兼备、全面发展的社会主义合格建设者和可靠接班人。本次阳光体育运动大赛决赛分两场举行，来自各二级学院的学生运动员经过班级赛、院级赛层层选拔后脱颖而出。首场比赛于5月17日在两校区同时进行，分别开展标准俯卧撑、引体向上、仰卧起坐、平板支撑等四项个人赛。决赛第二场在南城校区如期开赛，包括万米男女混合接力赛、男女混合跳绳比赛两个项目。经过激烈的比拼，最终评出个人项目奖项、集体项目奖项、班级赛一等奖、优秀组织奖和团体总分奖。闭幕式致辞环节，梁瑞雄校长首先对整个赛事的组织开展表示了肯定，并代表学校向为本次大赛付出辛勤劳动的老师们、同学们表示感谢，向获奖的集体和个人表示衷心的祝贺！他指出，阳光体育运动大赛是对我校体育工作的一次大检验，也是学校体育工作成果展示的一个重要窗口。梁校长分别从参赛积极性高、赛事保障有力、竞赛成绩喜人三个方面总结了本届阳光体育运动大赛的成绩。他表示，本届阳光体育运动大赛充分体现了“人人参与，全民健身”的阳光体育精神，同学们在比赛中所取得的优异成绩，对于每一个班级、每一个学院都是很大的鼓舞，有利于培养大家克服困难、勇于拼搏的精神，有利于提高集体荣誉感，增强团队凝聚力，对于促进校园阳光体育运动蓬勃开展、进一步加强“运动校园”建设，起到了积极的推动作用。最后，他强调，希望同学们持续开展有益身心健康的体育运动，展现自信、自强的精神风貌，掀起阳光体育运动的新高潮。,2023-05-25
2023中国（广东）大学生时装周广东科技学院专场顺利举行,https://www.gdust.edu.cn/article/20230523/17497.html,本网讯（艺术设计学院）5月21日，2023中国（广东）大学生时装周广东科技学院专场在广州国际轻纺城7楼1号展馆隆重举行，并在学校官方视频号平台上同步直播，累计观看人数达7185人，点赞数高达5.4万。本届大学生时装周由广东省教育厅指导，由广东省服装服饰行业协会、广东省服装设计师协会、广州国际轻纺城联合主办。第18届中国(广东)大学生时装周核聚广东服装专业院校设计力量，通过举办院校毕业设计展演、指定面料团体创意设计大赛、广东大学生优秀服装设计大赛总决赛、大咖论坛、对接交流会等主题活动，构建起行业先锋设计、人才对接和产学研一体的产业化支撑体系，助力世界级先进纺织服装产业强省建设。本次毕业作品展邀请了东莞市圣伊莉服装有限公司总经理黄小莉、伊海诗（广州）户外用品有限公司企划总监王孝函、广州腾美服饰有限公司总经理郭腾、惠州学院范强教授、我校谭立平教授作为评委出席本次展演，广东省服装设计师协会专职执行会长温静华、helloAPM总经理蓝金康、我校副校长李才、艺术设计学院院长刘亚军、金日龙教授作为嘉宾出席本次活动。副校长李才致欢迎辞。首先，他代表学校向组委会与莅临现场的来宾表示诚挚的感谢。李校表示，中国（广东）大学生时装周是国内瞩目的大学生时装舞台。通过本届时装周，与兄弟院校一同诠释时装的内涵，展示服装专业的魅力和教学成果，必将提升专业师生对服装、服饰的追求与探究。同时，李校对学校服装设计与工程专业的概况和教学成果做了简要介绍。他强调，我校服装专业的办学定位依托东莞的服装产业，培养本土化的服装高级应用创新型人才，在东莞及粤港澳大湾区的服装产业转型升级中，为产业提供人才服务和智力支持。最后，他对同学们精彩纷呈的时装作品表示期待，并祝贺我校服装设计师们在未来职业生涯中大展宏图，为粤港澳大湾区服装产业发展贡献力量。本次作品展以“衍”为主题，服装人用针与线编织着欢笑、付出、坚守、执着的过去，衍生出对未来的希望，重启人生的新华章。我校学子用设计诠释“Z世代00后”独特思想，对元素进行混搭、重组，碰撞出新的艺术火花。中场环节，我校大学生艺术团舞蹈队准备了精彩的舞蹈表演，炸裂的舞曲将现场氛围再次升腾，绚烂的舞姿为此次展演延续着艺术的魅力。展演尾声，模特携手设计师出场，现场掌声热烈。随后，对获奖设计师进行颁奖。一针一线，是青春和灵感的相互碰撞，以美育之华，醒生活之花。未来，广科将继续携学子同行，带来更多不一样的视觉盛宴！,2023-05-23
华中科技大学工业技术研究院院长张国军一行莅临我校调研交流,https://www.gdust.edu.cn/article/20230524/17499.html,本网讯（科研处）5月19日下午，华中科技大学工业技术研究院院长张国军一行六人莅临学校调研交流工作。省督导专员、校党委书记吴念香、校长梁瑞雄、副校长李才等热情接待。张国军院长一行在我校领导的陪同下参观了教学楼、实验楼等场所，重点考察了华为ICT产业学院，并对学校的办学投入与建设成效给予了高度评价。随后，双方进行了深入的座谈交流，座谈会由吴念香书记主持。会上，梁瑞雄校长介绍学校基本情况，着重讲解了学校办学理念。他表示学校接下来将立足湾区发展，努力打造应用性学科专业特色，建立创新创业教育全覆盖的新局面。接下来，张国军院长高度赞扬了学校的办学理念、办学投入与建设成效。他表示，广东科技学院是一所特色鲜明、底蕴深厚的高水平应用创新型大学，有着过硬的设施和高水平的学科建设，愿同学校从几方面开展合作：一是共建科研平台；二是共享人才资源；三是培养创新创业团队。吴念香书记对张院长的肯定和指导表示感谢，她表示下一阶段学校将强化与华中科技大学工业技术研究院的联系，努力搭建科研工作合作，实现学校教学和科研并重转型发展新局面。,2023-05-19
2023“校友会”中国大学一流专业排名（应用型）发布，我校整体位列全国第67名，全省第5名,https://www.gdust.edu.cn/article/20230522/17496.html,本网讯（南博教育研究院）近日，第三方大学评价研究机构艾瑞深校友会网发布2023中国大学一流专业排名。在校友会2023中国大学一流专业排名（应用型）榜单中，我校共有11个中国六星级专业（6★），12个中国五星级专业（5★），15个中国四星级专业（4★），3个中国三星级专业（3★）。整体位列全国第67名，全省第5名，且该排行榜不分公、民办进行统一排名。校友会2023中国大学一流专业排名评价指标由学科水平、培养质量、师资水平、专业水平和专业影响5大指标构成，以艾瑞深“大学360度全景数据平台”为数据支持，涵盖了教育部“双一流”建设学科、教育部学科评估结果、国家级一流本科专业建设点、杰出校友和杰出师资等100多项评价观测指标。据了解，校友会中国大学一流专业排名首发于2015年，至今已有9年的历史，是目前中国参评高校数量最多和参评专业规模最大的中国大学本科专业排名。本次排名共有1225所本科高校的近6万个本科专业参评，覆盖12大门类92个专业类的730多个本科专业。该排行榜不分公、民办高校，仅按照办学定位，采取分类分级分档评价，分为“研究型”和“应用型”两类进行排名。对比2022年数据，广科2023年全国排名提升11名，新增六星级专业2个、五星级专业3个、四星级专业1个。除去年新增招生的4个专业及今年获批新增的1个专业暂未赋星外，现有41个专业均获得赋星。一起来看看我校这些上星专业吧！我校软件工程、自动化、汽车服务工程、物联网工程、网络工程、财务管理、工商管理、物流管理、电子商务、国际经济与贸易、会计学专业荣获2023中国六星级应用型专业（6★），晋升中国顶尖应用型专业行列。我校跨境电子商务、机器人工程、大数据管理与应用、经济与金融、数字媒体艺术、商务英语、服装设计与工程、机械电子工程、环境设计、市场营销、电子信息工程、机械设计制造及其自动化专业荣获2023中国五星级应用型专业（5★），入围中国一流应用型专业行列。我校新能源汽车工程、互联网金融、数据科学与大数据技术、投资学、翻译、金融工程、服装与服饰设计、日语、产品设计、信息管理与信息系统、材料成型及控制工程、视觉传达设计、通信工程、电气工程及其自动化、英语专业荣获2023中国四星级应用型专业（4★），进入中国高水平应用型专业行列。我校智能制造工程、智能科学与技术、资产评估专业获得2023中国三星级应用型专业（3★），入选中国区域一流应用型专业行列。近年来，我校紧扣“应用创新型大学”办学定位，围绕地方经济社会发展重点产业优化学科专业体系，密切对接产业链、创新链，积极服务东莞及粤港澳大湾区经济建设。在目前开设的46个本科专业中，软件工程专业是省级重点培育学科，并成功入选国家一流专业建设点；网络工程、财务管理、物流管理3个专业入选广东省一流本科专业建设点；物联网工程、机械电子工程、电子信息工程等6个专业成功通过IEET工程及科技教育认证；电子商务、财务管理、会计学、商务英语等15个专业正在开展ACBSP国际商科专业认证。同时，机械、电子信息、工商管理、会计4个专业作为首批硕士专业学位点，正在培育中。接下来，我校将坚持以习近平新时代中国特色社会主义思想为指导，继续深化教育教学改革，按照学校“三优先”学科专业发展原则，充分发挥“金三角”专业建设核心团队作用，聚焦专业赋星、专业认证、专业集群建设“三大抓手”，不断优化学科专业结构，扎实推进学科专业建设水平持续提升，为学校高质量发展提供有力支撑。,2023-05-19
我校举行2023年“五四”表彰大会暨灯塔学习会,https://www.gdust.edu.cn/article/20230516/17493.html,本网讯（党委办公室）传承五四薪火，谱写青春华章，5月15日晚，“青春有我”2023年“五四”表彰大会暨灯塔学习会在我校南城校区体育馆隆重举行，官方视频号同步直播，累计观看次数超2.4万次，点赞数高达3.4万。省政府督导专员、校党委书记吴念香，副校长吴立平，党委副书记、副校长毕会东，党委办公室、学校办公室、人事处、教务处、学生处等职能部门主要负责人及各学院领导出席晚会。本次晚会采用表彰展示与文艺演出相结合的形式，展现广科青年“勇担时代使命，不负青春韶华”的精神风貌。大幕拉开，聚光灯渐起，三段精彩纷呈的暖场表演充分调动起了现场的氛围与观众的热情。随后，现场通过放映《二十本经典必读书目》视频和表演《十首传唱歌曲精选串烧》，对相关校园活动进行推介。节目形式多种多样，拔萃学子们尽情地展示着敢于创新、不断进取的精神风貌，用自己的方式，挥舞青春，讴歌五四。省政府督导专员、学校党委书记吴念香上台致辞。吴书记充分肯定了过去一年来我校团学工作在思想引领、组织建设、校园文化、志愿服务、社会实践和科技创新等方面的工作成效，并向即将受表彰的先进集体和优秀个人表示热烈祝贺。她深入浅出地阐述了五四精神的内涵及历史意义，并借此机会向全校团组织和团员青年们提出了四点期望，一永葆跟党初心，始终坚持思想政治引领；二胸怀国之大者，始终坚持自觉担当尽责；三牢记青春使命，始终坚持心系广大青年;四锐意开拓创新，始终坚持勇于自我革命。最后，吴书记寄语广大青年要发扬“五四”精神，以青春为桨、梦想为帆，立足新时代新征程，主动担当作为，让青春在全面建设社会主义现代化强国的火热实践中绽放绚丽之花！党委副书记、副校长毕会东宣读了《关于表彰广东科技学院2022-2023学年共青团先进集体和先进个人的决定》和《关于表彰2022-2023学年团学组织和个人在各级各类活动中获奖的决定》。随后，晚会表彰了一批先进典型，进一步鼓励广大青年续写党的历史荣光，面向未来、再立新功！表彰后，师生们共同欣赏了《祖国不会忘记》的合唱表演，优美的旋律、亲切的歌声传遍整个体育馆，充满气势的表演，唤起中华儿女的豪情壮志，诠释出了广科学子的拳拳爱国心！精彩纷呈的文艺汇演环节主要分为三个篇章进行，不仅有活力四射的歌舞表演、感人至深的诗词朗诵、激昂动听的歌唱表演，还有再现磅礴历史的情景剧场。他们以“五四”为主要元素，对节目进行了别出心裁的创作与淋漓尽致的演绎，展现了广科学子独有的青春姿态！此次晚会歌舞飞扬，青春洋溢，催人奋进，充分展现了我校学子奋发有为的精神面貌，营造了浓厚的校园文化氛围。同时鼓励我校师生坚定理想信念，放飞青春梦想，谱写青春华章，为实现中国梦而努力奋斗！,2023-05-16
深圳大学原校长谢维信教授莅临我校考察指导,https://www.gdust.edu.cn/article/20230508/17484.html,"本网讯（教师发展中心）5月4日，国家自然科学基金委员会电子学科评议组组长、国家级有突出贡献专家，深圳大学前校长、学术委员会主任谢维信教授莅临我校松山湖校区考察指导。周二勇常务副校长代表学校向谢教授表示热烈欢迎。并全程陪同考察，随行介绍学校的总体发展规划与“一校两区”管理模式。一行实地参观新校区“大密大疏、一河两岸、双龙戏珠”校园景观，重点考察了“智慧校园”中控系统、华为ICT产业学院及腾讯云产业学院。计算机学院田立伟院长还向谢教授介绍了两个产业学院的建设情况。谢维信教授对我校的办学发展与新校区建设给予充分肯定。他表示，广东科技学院作为国内知名的民办应用型本科高校，立足湾区发展，有着明确的办学方向和建设目标，在各方面持续深耕探索，已取得可喜的办学成绩和令人瞩目的办学效果。他也为学校发展提出宝贵建议：一是可以继续加强与行业龙头企业共创共建，坚持以区域产业发展需求为导向，依托产业学院建设，探索一条适用应用型本科高校发展的创新之路；二是重视推进硕士学位授予立项建设，充分发挥学校自身优势，联合好、运用好外部博士后科研工作站和博士后创新实践基地，进一步打响学校办学品牌。同时，要紧抓学校近年引进高水平人才和设立博士工作站的契机，适时试点探索博士后进出站人才培养路径，使之与学校师资队伍建设有机融合。三是善用学校区位优势，主动对接境内外高水平应用型大学，在合作办学、人才培养、师资培训等方面加强交流合作。谢教授表示，他相信在南博集团的全力支持下,学校领导的正确领导下，全体师生员工的共同努力下，广东科技学院定会建设成为一所全国知名的一流应用型高校。周二勇常务副校长对谢教授的肯定和指导表示感谢，他表示接下来学校将坚持立足东莞、服务广东、面向粤港澳大湾区的定位，强化与区域内高水平大学的联系，深化与高新行业头部企业的产教融合，持续培养高素质应用创新型人才，为推动湾区建设和实现广东高质量发展提供技术支撑和人才保障。",2023-05-07
华南师范大学陈先哲教授来校开展《如何提高社科类项目申报成功率》专题讲座,https://www.gdust.edu.cn/article/20230506/17482.html,本网讯（教师发展中心）4月26日，华南师范大学教育科学学院博士生导师、高等教育研究所所长、粤港澳大湾区教育发展高等研究院副院长陈先哲教授，应邀来校开展《如何提高社科类项目申报成功率》专题讲座。学校吴立平副校长出席培训并作讲话，70余名教师参加学习。陈先哲教授从选题、设计与论证三方面入手，结合自身研究经历，深入分析讲解了社科类项目选题思路，以及申报书的撰写与论证技巧。陈教授指出，选题要“热中有新”，通过“为什么要做”“为什么要现在做”“为什么是你做”三个层次阐释问题，说明选题必备三要素即：个体关切、现实关怀、理论魅力。同时，他强调文献综述的重要性，用“铜线”“银线”“金线”比喻不同综述特点，分享不同层次的写法。并对申报书中的研究方法、研究思路、研究创新等重要内容提供写作思路，强调务必要重视前期研究基础，分享了诸多申报课题的宝贵经验。吴立平副校长致辞，她首先向陈教授表示感谢，并向大家分享了近期我校教师申报教育部人文社科类项目的情况，指出申报数量较往年有较大提升。她再次强调，学校当前的审核评估和硕士学位授予立项建设两大重点工作目标，标志着学校向教学科研并重型转变。为了服务教师，促进内“服”外“联”、保“底”冲“高”、重“略”攻“术”的科研工作要求，本学期开学以来，学校已先后邀请浙江大学眭依凡教授、西南大学黄俊教授等知名学者来校开展科研专题报告，进一步提升了青年教师的科研素养。自华南师范大学与我校建立党建“组团式”帮扶合作以来，结合高校党建工作重点任务和双方实际，华南师范大学对我校党建思政、学科专业建设等方面进行全面帮扶，取得了一系列明显成效，为推动学校各项事业高质量发展奠定了坚实基础。华南师范大学多次指导我校申报省级党建“双创”项目，我校党委成功获批第四批“全省党建工作示范高校”培育创建单位，外国语学院党委、软件工程专业教师党支部分别获批第四批“全省党建工作标杆院系”、“全省党建工作样板支部”培育创建单位，实现了“学校-院系-支部”三级党建“双创”工作“大满贯”；指导我校申请国家自然科学基金依托单位，双方已对接电子信息类学科的研究生导师联合培养工作，目前已联合培养硕士研究生导师6名，为学校开展硕士专业学位研究生教育打下坚实基础。接下来，学校与华南师范大学将继续紧密围绕帮扶目标加强交流、深化合作，有力有序推动帮扶举措落实落地见成效，推动帮扶工作结出丰硕成果。,2023-05-06
我校举行首批辅导员工作室揭牌仪式,https://www.gdust.edu.cn/article/20230427/17477.html,本网讯（学生处）为进一步加强辅导员队伍建设，以立德树人为己任，切实做到为党育人、为国育才，4月26日下午，我校在松山湖校区5号教学楼102报告厅举行广东科技学院首批辅导员工作室揭牌仪式。我校校长梁瑞雄，党委副书记、副校长毕会东，校长助理、学生处处长王宏武，党委办公室、人事处、教务处、学生处、马克思主义学院、就业与校企合作处等职能部门主要负责人，各二级学院学工院长，双校区全体学工人员及松山湖校区学生代表参会。本次活动由学生处副处长董德成主持。校长梁瑞雄致开幕辞。他表示，我校大学生思想政治工作认真贯彻落实党的教育方针和全国、全省高校思想政治工作会议精神，牢记“为党育人、为国育才”使命担当，积极探索学生思想政治教育新方法、新路径，举办多项辅导员能力竞赛和学习交流活动，逐步形成了与学校美誉度相匹配的辅导员发展机制。梁校长强调，学校支持和赞赏首批校级辅导员工作室的建设，要以此引导辅导员聚焦主责职业，打造一批专家型辅导员骨干，促使辅导员工作室成为展示辅导员风采的窗口、创新育人理念方法的平台和孵化辅导员名师的摇篮。为不断提升我校大学生思想政治教育工作质量和水平，梁校长提出了四点寄望：一是创新工作，发挥示范作用；二是发挥优势，打造特色品牌；三是健全机制，加强监督管理；四是主动作为，实现共同成长。最后，他希望辅导员们再接再厉，帮助学生扣好人生第一粒扣子，助力学校培育全面发展、担当民族复兴大任的时代新人！校长助理、学生处处长王宏武对学校辅导员工作室建设规划进行介绍。他从辅导员工作室的基本情况、主要任务、考核内容及经费使用等方面展开阐述，指出7个成功立项的辅导员工作室涵盖了“五育并举”广科特色育人模式、学业指导、心理健康教育与咨询、思想理论教育和价值引领、职业规划与就业创业指导及网络思想政治教育等学生工作领域，全面服务学生成长成才。最后，他希望全体学工人员凝心聚力，努力把辅导员工作室打造成为工作交流的重要载体、职业能力提升的重要阵地、学生工作研究和实践创新的重要平台，实现育人质量、学生工作质量的实质性跨越。在揭牌仪式上，校长梁瑞雄、副校长毕会东、校长助理王宏武、人事处处长张少华应邀上台，共同为7个辅导员工作室揭牌。随着幕布的缓缓拉开，我校首批辅导员工作室正式成立并全面启动工作。“行知坊”实践育人工作室主持人、计算机学院辅导员张珂老师作校级辅导员工作室的经验介绍。她分别从工作室定位介绍、建设情况、育人实效和未来的预期规划四个方面，对“行知坊”实践育人工作室的情况和建设经验进行了细致的讲解。同时，她希望未来能有机会与更多优秀工作室相互交流，齐头并进，助推学校高质量发展。党委副书记、副校长毕会东作总结讲话。他首先对辅导员工作室的顺利揭牌和近年来学生工作取得的一系列成绩表示肯定，指出辅导员工作室的设立能进一步凝聚奋进力量，推进辅导员队伍职业化、专业化、专家化发展，构建以“名辅导员”为核心的辅导员队伍人才梯队和骨干团队，全面提升我校大学生思想政治教育工作水平。借此机会，他向辅导员工作室提出了四点要求：一要提高政治站位，积极主动作为；二要聚焦学生工作，践行学生中心；三要发挥辐射作用，加强示范引领；四要推动实践创新，形成广科特色。最后，他强调要对标先进、奋楫扬帆，以争创省级名工作室为目标，以构建全方位育人体系、深化“五育并举”学生发展模式为手段，高质量建设好辅导员工作室，凝练广科学生工作特色品牌。我校首批辅导员工作室的正式揭牌，标志着辅导员工作室标准化建设的开始。今后，我校将继续以辅导员工作室为抓手，通过开展学术研究、实践探索、研讨交流、成果推广等方式，形成一批工作经验、产出一批研究成果、提炼一批精品项目、培育一批队伍骨干，全面提升辅导员铸魂育人能力，促进学校学生工作高质量发展，为实现高水平应用创新型大学的发展目标赋能提质。,2023-04-27
我校普通话水平测试站顺利通过验收,https://www.gdust.edu.cn/article/20230425/17474.html,本网讯（校语委）近日，广东省教育厅、广东省语言文字工作委员会联合发文批复我校普通话水平测试站顺利通过验收。我校语言文字工作进入了一个崭新的阶段！学校高度重视普通话水平测试站建站工作，安排校语委、职业技能鉴定所负责做好筹建准备，为普通话水平测试提供场地，配备硬件资源，按要求向广东省教育厅递交申报材料。3月30日上午，广东省语言文字工作委员会办公室调研员冯成志、省语委专家等一行7人莅临我校，对我校普通话水平测试站开展评审验收工作。我校副校长、校语委会主任委员吴立平，副校长、校语委会副主任委员毕会东，通识教育学院院长段渊、校语委办主任郭美玲等有关人员参加了评审会。专家组领导在听取了关于学校基本情况的介绍以及普通话水平测试站建设情况的汇报后，现场查看了学校普通话水平测试站等软硬件设施，对我校语言文字工作成效给予高度评价，对我校普通话测试站标准化建设的成绩予以肯定，对我校以服务学生发展为根本的工作定位和有关做法表示赞赏。我校普通话测试站的建设工作，始终严格按照国家语言文字测试的基本要求进行配置和建设。普通话水平测试站设在工1实训楼4楼，分别设置“采集区”、“候考区”、“办公区”和“测试区”4个功能区域。测试站拥有宽敞明亮的机房环境，高规格配置计算机、监考机、语音呼叫系统、监控系统、紫光灯、感应器、新风系统、隔音装备等。测试站候考区、采集区、办公区、测试区相对独立，其中测试区建立23个端口，可以满足23位考生同时测试，每天可进行约360人次的测试。学校将以本次验收工作为契机，按照省教育厅普通话测试培训中心的要求和工作部署，提高服务质量，推动语言文字工作，建立健全管理人员和测试员队伍，严把测试质量关，将测试站建设成为一流的普通话测试站。我校普通话水平测试站的设立，对推动我校语言文字工作，全面提高学生普通话水平，以及进一步提升学校毕业生就业质量都具有积极意义。我校将充分发挥学校测试平台的资源优势，为社会提供普通话水平测试服务，为推广普及国家通用语言文字、弘扬中华优秀传统文化贡献力量。,2023-04-25
我校举行“东莞市社科名家陈标新数字经济工作室”揭牌仪式,https://www.gdust.edu.cn/article/20230423/17466.html,本网讯（大湾区产教联盟）近日，由我校申报的“东莞市社科名家陈标新数字经济工作室”成功获批东莞市社科名家工作室。4月20日，揭牌仪式在我校南城校区512会议室举行。这是东莞市首批两家社科名家工作室之一，将助力打造“学术东莞”品牌，助推东莞加快高质量发展。东莞市社科联党组书记、主席，市社科院院长张卫红，市社科联党组成员、副主席肖乃勇，党组成员、四级调研员于洪波，我校校长梁瑞雄，副校长吴立平、陈标新，相关部门主要负责人等出席揭牌仪式。揭牌仪式由吴立平主持。2022年全市宣传思想文化工作会议首次明确提出，要打造东莞社科名家工作室。在市委市政府出台的多项政策文件中，均提到了社科名家工作室，建设社科名家工作室是刻不容缓的硬性任务，更是要高质量完成的任务。仪式上，梁瑞雄校长致辞并介绍学校情况。首先，梁校长充分肯定了揭牌的重要意义，感谢东莞市社科联一直以来对学校的支持和帮助。他表示，学校将充分发挥示范引领作用，不断为东莞社科事业发展提供科研支撑、人才支撑、平台支撑，贡献广科智慧。陈标新副校长介绍工作室基本情况及建设规划。他表示，工作室将尽快制定发展规划，建立管理制度，开展课题研究，培养科研人才，打造“高中基”结合的学术共同体。张卫红主席表示，社科名家工作室是打造“学术东莞”品牌的一个重要抓手和平台载体，要发挥好头雁效应，紧扣市委市政府中心工作，聚焦“科技创新+先进制造”城市特色，创造性开展研究，落实好保障措施，不断开创工作室发展新格局，为推动全市社科工作迈上新台阶添砖加瓦。据了解，社科名家工作室由市社科联和该工作室的首席名家所在单位共同管理，工作室实行首席名家负责制。首席名家负责制定工作室发展规划和年度发展计划，组织开展各项学术活动等社科工作。工作室的主要任务包括承担与工作室研究方向相关的研究项目、举办学术研讨会、撰写咨政报告、开展集中研修培训等，对促进全市社科工作发展具有重要意义。我校一直积极担当政府智囊和决策参谋的角色。多年来，我校围绕党委政府的决策部署和战略需求，有序开展各类项目申报工作。2022年，5名教师成功入选广东省本科高校教学指导委员会委员，14名教师被东莞社科院聘任为特约研究员，23名教师入选省市两级专家人才库，33名教师入选广东省哲学社会科学成果奖评审专家库。全年获批各级各类科研项目228项（省部级及以上项目8项），教职工共发表论文832篇，出版著作（编著）27部，获批授权专利34件，获得软件著作权12件。建成4个市级工程技术（研究）中心和1个重点实验室。我校党建文化馆被认定为东莞市社会科学普及基地。接下来，我校将继续坚持以习近平新时代中国特色社会主义思想为指导，深入学习贯彻党的二十大精神，认真落实广东省高质量发展大会、东莞市制造业高质量发展大会、东莞市宣传思想文化工作高质量发展述评会精神，按照《东莞市社科名家工作室管理办法（试行）》要求，搭建好建设好工作室，建立健全工作室管理，积极承担与工作室研究方向相关的研究项目，不断推进我市哲学社会科学事业繁荣发展，为东莞在“双万”新起点上实现高质量发展贡献力量。,2023-04-22
